Release, Total, TP, FN, TN, FOR, noise, Recall, Total Releases,Relative,Project
9,929.0,376.0,0.0,553.0,0.0,0.0,1.0,11,0.8,CHUKWA
10,929.0,376.0,0.0,553.0,0.0,0.0,1.0,11,0.9,CHUKWA
11,929.0,376.0,0.0,553.0,0.0,0.0,1.0,11,1.0,CHUKWA
2,0.0,0.0,0.0,0.0,/0,/0,/0,31,0.03333333333333333,FALCON
3,206.0,1.0,70.0,135.0,0.341463414634,0.339805825243,0.0140845070423,31,0.06666666666666668,FALCON
4,206.0,21.0,50.0,135.0,0.27027027027,0.242718446602,0.295774647887,31,0.1,FALCON
5,206.0,23.0,48.0,135.0,0.262295081967,0.233009708738,0.323943661972,31,0.13333333333333333,FALCON
6,206.0,38.0,33.0,135.0,0.196428571429,0.160194174757,0.535211267606,31,0.16666666666666666,FALCON
7,207.0,50.0,22.0,135.0,0.140127388535,0.106280193237,0.694444444444,31,0.2,FALCON
8,207.0,50.0,22.0,135.0,0.140127388535,0.106280193237,0.694444444444,31,0.2333333333333333,FALCON
9,207.0,50.0,22.0,135.0,0.140127388535,0.106280193237,0.694444444444,31,0.26666666666666666,FALCON
10,207.0,55.0,17.0,135.0,0.111842105263,0.0821256038647,0.763888888889,31,0.3,FALCON
11,207.0,55.0,17.0,135.0,0.111842105263,0.0821256038647,0.763888888889,31,0.3333333333333333,FALCON
12,207.0,55.0,17.0,135.0,0.111842105263,0.0821256038647,0.763888888889,31,0.36666666666666653,FALCON
13,208.0,57.0,16.0,135.0,0.105960264901,0.0769230769231,0.780821917808,31,0.4,FALCON
14,208.0,60.0,13.0,135.0,0.0878378378378,0.0625,0.821917808219,31,0.43333333333333335,FALCON
15,208.0,60.0,13.0,135.0,0.0878378378378,0.0625,0.821917808219,31,0.4666666666666667,FALCON
16,209.0,65.0,9.0,135.0,0.0625,0.0430622009569,0.878378378378,31,0.5,FALCON
17,209.0,65.0,9.0,135.0,0.0625,0.0430622009569,0.878378378378,31,0.5333333333333333,FALCON
18,209.0,65.0,9.0,135.0,0.0625,0.0430622009569,0.878378378378,31,0.5666666666666667,FALCON
19,209.0,66.0,8.0,135.0,0.0559440559441,0.0382775119617,0.891891891892,31,0.6,FALCON
20,209.0,66.0,8.0,135.0,0.0559440559441,0.0382775119617,0.891891891892,31,0.6333333333333333,FALCON
21,210.0,68.0,7.0,135.0,0.0492957746479,0.0333333333333,0.906666666667,31,0.6666666666666666,FALCON
22,210.0,68.0,7.0,135.0,0.0492957746479,0.0333333333333,0.906666666667,31,0.7,FALCON
23,210.0,68.0,7.0,135.0,0.0492957746479,0.0333333333333,0.906666666667,31,0.7333333333333333,FALCON
24,210.0,74.0,1.0,135.0,0.00735294117647,0.0047619047619,0.986666666667,31,0.7666666666666667,FALCON
25,210.0,74.0,1.0,135.0,0.00735294117647,0.0047619047619,0.986666666667,31,0.8,FALCON
26,210.0,74.0,1.0,135.0,0.00735294117647,0.0047619047619,0.986666666667,31,0.8333333333333334,FALCON
27,210.0,74.0,1.0,135.0,0.00735294117647,0.0047619047619,0.986666666667,31,0.8666666666666667,FALCON
28,211.0,76.0,0.0,135.0,0.0,0.0,1.0,31,0.9,FALCON
29,211.0,76.0,0.0,135.0,0.0,0.0,1.0,31,0.9333333333333332,FALCON
